k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.3333333333333333,0.02127659574468085,0.04
3,1.0,0.25,0.02127659574468085,0.0392156862745098
4,1.0,0.2,0.02127659574468085,0.03846153846153846
5,1.0,0.16666666666666666,0.02127659574468085,0.03773584905660377
6,1.0,0.14285714285714285,0.02127659574468085,0.037037037037037035
7,1.0,0.125,0.02127659574468085,0.03636363636363636
8,1.0,0.1111111111111111,0.02127659574468085,0.03571428571428571
9,1.0,0.1,0.02127659574468085,0.03508771929824561
10,1.0,0.09090909090909091,0.02127659574468085,0.034482758620689655
11,1.0,0.08333333333333333,0.02127659574468085,0.03389830508474576
12,1.0,0.07692307692307693,0.02127659574468085,0.03333333333333333
13,1.0,0.07142857142857142,0.02127659574468085,0.032786885245901634
14,1.0,0.06666666666666667,0.02127659574468085,0.03225806451612903
15,1.0,0.0625,0.02127659574468085,0.031746031746031744
16,1.0,0.058823529411764705,0.02127659574468085,0.03125
17,1.0,0.05555555555555555,0.02127659574468085,0.030769230769230767
18,1.0,0.05263157894736842,0.02127659574468085,0.030303030303030304
19,1.0,0.05,0.02127659574468085,0.029850746268656716
