k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.05555555555555555,0.10526315789473684,1
2,2.0,1.0,0.1111111111111111,0.19999999999999998,1
3,3.0,1.0,0.16666666666666666,0.2857142857142857,1
4,3.0,0.75,0.16666666666666666,0.27272727272727276,0
5,4.0,0.8,0.2222222222222222,0.3478260869565218,1
6,5.0,0.8333333333333334,0.2777777777777778,0.4166666666666667,1
7,6.0,0.8571428571428571,0.3333333333333333,0.48,1
8,7.0,0.875,0.3888888888888889,0.5384615384615385,1
9,8.0,0.8888888888888888,0.4444444444444444,0.5925925925925926,1
10,9.0,0.9,0.5,0.6428571428571429,1
11,9.0,0.8181818181818182,0.5,0.6206896551724137,0
12,10.0,0.8333333333333334,0.5555555555555556,0.6666666666666667,1
13,10.0,0.7692307692307693,0.5555555555555556,0.6451612903225806,0
14,11.0,0.7857142857142857,0.6111111111111112,0.6875000000000001,1
15,11.0,0.7333333333333333,0.6111111111111112,0.6666666666666666,0
16,12.0,0.75,0.6666666666666666,0.7058823529411765,1
17,13.0,0.7647058823529411,0.7222222222222222,0.7428571428571428,1
18,14.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,1
19,15.0,0.7894736842105263,0.8333333333333334,0.8108108108108109,1
20,15.0,0.75,0.8333333333333334,0.7894736842105262,0
