k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.029411764705882353,0.05714285714285715,1
2,1.0,0.5,0.029411764705882353,0.05555555555555555,0
3,2.0,0.6666666666666666,0.058823529411764705,0.10810810810810811,1
4,3.0,0.75,0.08823529411764706,0.15789473684210525,1
5,3.0,0.6,0.08823529411764706,0.15384615384615385,0
6,4.0,0.6666666666666666,0.11764705882352941,0.2,1
7,5.0,0.7142857142857143,0.14705882352941177,0.24390243902439024,1
8,6.0,0.75,0.17647058823529413,0.2857142857142857,1
9,7.0,0.7777777777777778,0.20588235294117646,0.3255813953488372,1
10,8.0,0.8,0.23529411764705882,0.3636363636363636,1
11,9.0,0.8181818181818182,0.2647058823529412,0.39999999999999997,1
12,10.0,0.8333333333333334,0.29411764705882354,0.4347826086956522,1
13,11.0,0.8461538461538461,0.3235294117647059,0.46808510638297873,1
14,12.0,0.8571428571428571,0.35294117647058826,0.5,1
15,13.0,0.8666666666666667,0.38235294117647056,0.5306122448979592,1
16,14.0,0.875,0.4117647058823529,0.56,1
17,15.0,0.8823529411764706,0.4411764705882353,0.5882352941176471,1
18,15.0,0.8333333333333334,0.4411764705882353,0.576923076923077,0
19,16.0,0.8421052631578947,0.47058823529411764,0.6037735849056604,1
20,16.0,0.8,0.47058823529411764,0.5925925925925927,0
