k,hits,precision,recall,fmeasure
1,1.0,1.0,0.058823529411764705,0.1111111111111111
2,1.0,0.5,0.058823529411764705,0.10526315789473684
3,2.0,0.6666666666666666,0.11764705882352941,0.2
4,2.0,0.5,0.11764705882352941,0.19047619047619047
5,2.0,0.4,0.11764705882352941,0.1818181818181818
6,2.0,0.3333333333333333,0.11764705882352941,0.1739130434782609
7,2.0,0.2857142857142857,0.11764705882352941,0.16666666666666666
8,2.0,0.25,0.11764705882352941,0.15999999999999998
9,2.0,0.2222222222222222,0.11764705882352941,0.15384615384615383
10,2.0,0.2,0.11764705882352941,0.14814814814814817
11,2.0,0.18181818181818182,0.11764705882352941,0.14285714285714285
12,2.0,0.16666666666666666,0.11764705882352941,0.13793103448275862
13,2.0,0.15384615384615385,0.11764705882352941,0.13333333333333333
14,2.0,0.14285714285714285,0.11764705882352941,0.12903225806451615
15,2.0,0.13333333333333333,0.11764705882352941,0.125
16,2.0,0.125,0.11764705882352941,0.12121212121212122
17,2.0,0.11764705882352941,0.11764705882352941,0.11764705882352941
18,2.0,0.1111111111111111,0.11764705882352941,0.11428571428571428
19,2.0,0.10526315789473684,0.11764705882352941,0.1111111111111111
20,2.0,0.1,0.11764705882352941,0.1081081081081081
