k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.07692307692307693,0.14285714285714288,1
2,2.0,1.0,0.15384615384615385,0.2666666666666667,1
3,2.0,0.6666666666666666,0.15384615384615385,0.25,0
4,2.0,0.5,0.15384615384615385,0.23529411764705882,0
5,3.0,0.6,0.23076923076923078,0.33333333333333337,1
6,4.0,0.6666666666666666,0.3076923076923077,0.42105263157894735,1
7,5.0,0.7142857142857143,0.38461538461538464,0.5,1
8,6.0,0.75,0.46153846153846156,0.5714285714285714,1
9,7.0,0.7777777777777778,0.5384615384615384,0.6363636363636364,1
10,8.0,0.8,0.6153846153846154,0.6956521739130435,1
11,9.0,0.8181818181818182,0.6923076923076923,0.7500000000000001,1
12,9.0,0.75,0.6923076923076923,0.7199999999999999,0
13,10.0,0.7692307692307693,0.7692307692307693,0.7692307692307693,1
14,11.0,0.7857142857142857,0.8461538461538461,0.8148148148148148,1
15,11.0,0.7333333333333333,0.8461538461538461,0.7857142857142856,0
16,12.0,0.75,0.9230769230769231,0.8275862068965517,1
17,12.0,0.7058823529411765,0.9230769230769231,0.8000000000000002,0
18,12.0,0.6666666666666666,0.9230769230769231,0.7741935483870968,0
19,12.0,0.631578947368421,0.9230769230769231,0.7499999999999999,0
20,13.0,0.65,1.0,0.787878787878788,1
